SUBJ,CRS #,SEC #,CALL #,SEM HRS,TITLE,DAYS,START TIME,END TIME,BLDG & ROOM #,FACULTY,REMARKS,SECTION TYPE,MODALITY,SESSION,SESS BEGIN,SESS END
ACCT,201,1,30002,3,PRINC OF FINANCIAL ACCOUNTING,TR,1000AM,1150AM,COBB 221,HUNT E,,,Face to face,,3/13/2024,5/24/2024
ACCT,201,2,30003,3,POST-CANDIDACY DISSERTATION RES,TR,1200PM,0150PM,COBB 221,HUNT E,,,Face to face,,3/13/2024,5/24/2024
ACCT,201,51,30004,3,PRINC OF FINANCIAL ACCOUNTING,MW,0400PM,0550PM,COBB 126,BURKHOLDER S,,,Face to face,,3/13/2024,5/24/2024
ACCT,201,52,30005,3,PRINC OF FINANCIAL ACCOUNTING,MW,0600PM,0750PM,COBB 126,BURKHOLDER S,,,Face to face,,3/13/2024,5/24/2024
ACCT,202,1,30007,3,PRINC OF MANAGERIAL ACCOUNTING,TR,0800AM,0950AM,COBB 121,COLLUM N,,,Face to face,,3/13/2024,5/24/2024
ACCT,202,2,32472,3,PRINC OF MANAGERIAL ACCOUNTING,MWF,1230PM,0145PM,COBB 109,LE H,,,Face to face,,3/13/2024,5/24/2024
ACCT,202,51,30008,3,PRINC OF MANAGERIAL ACCOUNTING,MW,0400PM,0550PM,COBB 121,LOPEZ P,,,Face to face,,3/13/2024,5/24/2024
ACCT,303,1,30010,3,INTERMEDIATE ACCOUNTING,MW,0200PM,0350PM,COBB 121,LOPEZ P,,,Face to face,,3/13/2024,5/24/2024
ACCT,305,1,30011,3,INTERMEDIATE ACCOUNTING,TR,1000AM,1150AM,COBB 111,WYNN J,,,Face to face,,3/13/2024,5/24/2024
ACCT,308,1,30012,3,MANAGERIAL COST ACCOUNTING,TR,0800AM,0950AM,COBB 111,DRAKE A,,,Face to face,,3/13/2024,5/24/2024
ACCT,401,1,30013,3,INTERNSHIP IN ACCOUNTING I,TBA,,,,DRAKE A,,,Face to face,,3/13/2024,5/24/2024
ACCT,401,99,30014,3,INTERNSHIP IN ACCOUNTING I,TBA,,,,DRAKE A,,,Face to face,,3/13/2024,5/24/2024
ACCT,402,1,30015,3,INTERNSHIP IN ACCOUNTING II,TBA,,,,DRAKE A,,,Face to face,,3/13/2024,5/24/2024
ACCT,402,99,30016,3,INTERNSHIP IN ACCOUNTING II,TBA,,,,DRAKE A,,,Face to face,,3/13/2024,5/24/2024
ACCT,413,1,30017,3,AUDITING,TR,1200PM,0150PM,COBB 121,HERDA D,,,Face to face,,3/13/2024,5/24/2024
ACCT,439,51,30018,3,ACCOUNTING ANALYTICS,MW,0400PM,0550PM,COBB 221,LUEHLFING M,XLS ACCT539,,Face to face,,3/13/2024,5/24/2024
ACCT,513,51,30021,3,ADVANCED AUDITING,TR,0400PM,0550PM,COBB 121,LAUCK J,XLS ACCT613,,Face to face,,3/13/2024,5/24/2024
ACCT,521,1,30022,3,"CASES, RSRCH & PROBLEMS IN TAX",TR,0200PM,0350PM,COBB 221,COLLUM N,,,Face to face,,3/13/2024,5/24/2024
ACCT,539,51,30023,3,ACCOUNTING ANALYTICS,MW,0400PM,0550PM,COBB 221,LUEHLFING M,XLS ACCT439,,Face to face,,3/13/2024,5/24/2024
ACCT,550C,1,30024,3,DIRECTED STUDY IN ACCOUNTING,TBA,,,,DRAKE A,,,Face to face,,3/13/2024,5/24/2024
ACCT,550C,99,30025,3,INTERNSHIP,TBA,,,,DRAKE A,,,Face to face,,3/13/2024,5/24/2024
ACCT,613,51,30026,3,ADVANCED AUDITING,TR,0400PM,0550PM,COBB 121,LAUCK J,XLS ACCT513,,Face to face,,3/13/2024,5/24/2024
AFAS,127,1,30027,1,US AIR FORCE HERITAGE&VALUES III,T,0200PM,0315PM,WYLT 1411,MANDE B,,,Face to face,,3/13/2024,5/24/2024
AFAS,157,1,30028,0,AFROTC LEADERSHIP LAB,TR,0300PM,0500PM,WYLT 1423,FIELD J,,,Face to face,,3/13/2024,5/24/2024
